Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;PRATA TOTAL;Prata total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;RESIDUOS SOLIDOS OBJETAVEIS;Resíduos sólidos objetáveis;P/A;;0.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;SELENIO TOTAL;Selênio total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;SIMAZINA;Simazina;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;SOLIDOS DISSOLVIDOS TOTAIS;Sólidos dissolvidos totais;mg/L;;500;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;SUBSTANCIAS TENSOATIVAS;Substâncias tensoativas;mg/L;;0.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;SULFATO TOTAL;Sulfato total;mg/L;;250;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;SULFETO;Sulfetos (como H2S não dissociado);mg/L;;0.002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TETRACLORETO DE CARBONO;Tetracloreto de carbono;mg/L;;0.002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TETRACLOROETENO;Tetracloroeteno;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TOLUENO;Tolueno;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TOXAFENO;Toxafeno;µg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TRIBUTILESTANHO;Tributilestanho;µg/L;;0.063;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TRICLOROBENZENOS;Triclorobenzeno (1,2,3-TCB + 1,2,4-TCB);mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TRIFLURALINA;Trifluralina;µg/L;;0.2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;TURBIDEZ;Turbidez;UNT;;100;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;URANIO TOTAL;Urânio total;mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;VANADIO TOTAL;Vanádio total;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;XILENO TOTAL;Xileno;µg/L;;300;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ZINCO TOTAL;Zinco total;mg/L;;0.18;
